book_name,author_name,book_length
Claiming Her Legacy,Linda Goodnight,Length: 10 hrs and 44 mins
The Lies About Forever,Claudia Burgoa,Length: 5 hrs and 16 mins
Iron Fist: Star Wars Legends (X-Wing),Aaron Allston,Length: 13 hrs and 6 mins
Mystical Bedtime Stories for Stressed Out Adults,Alisha Kapani,Length: 10 hrs
The Vanishing Deep,Astrid Scholte,Length: 10 hrs and 59 mins
Wait,Gabriella Burnham,Length: 8 hrs and 17 mins
The Hero of Ages,Brandon Sanderson,Length: 27 hrs and 25 mins
Wide Awake,Jon Grinspan,Length: 12 hrs and 27 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Length: 20 hrs and 36 mins
Explorer,Jez Cajiao,Length: 26 hrs and 28 mins
A Clash of Kings,George R.R. Martin,Length: 37 hrs and 12 mins
Eve of Redemption: Books 1-6,Joe Jackson,Length: 90 hrs and 33 mins
The Kidnapping of Edgardo Mortara,David I. Kertzer,Length: 15 hrs and 44 mins
A Court of Frost and Starlight (Dramatized Adaptation),Sarah J. Maas,Length: 5 hrs and 33 mins
